FSA,HR_UID,Prov,ENGNAME,FRENAME,EstimatedPop,fk_healthregion_id,fk_province_id
B4A,1204,12,Zone 4 - Central,Zone 4 - Central,17656,32,12
B4B,1204,12,Zone 4 - Central,Zone 4 - Central,11911,32,12
B4C,1204,12,Zone 4 - Central,Zone 4 - Central,17984,32,12
B4E,1204,12,Zone 4 - Central,Zone 4 - Central,19345,32,12
B4G,1204,12,Zone 4 - Central,Zone 4 - Central,4329,32,12
B4H,1202,12,Zone 2 - Northern,Zone 2 - Northern,13278,30,12
B4N,1201,12,Zone 1 - Western,Zone 1 - Western,17402,29,12
B4P,1201,12,Zone 1 - Western,Zone 1 - Western,7258,29,12
B4R,1201,12,Zone 1 - Western,Zone 1 - Western,2939,29,12
B4V,1201,12,Zone 1 - Western,Zone 1 - Western,19850,29,12
B5A,1201,12,Zone 1 - Western,Zone 1 - Western,15523,29,12
B6L,1202,12,Zone 2 - Northern,Zone 2 - Northern,12720,30,12
B9A,1203,12,Zone 3 - Eastern,Zone 3 - Eastern,4303,31,12
C0A,1100,11,Prince Edward Island,Île-du-Prince-Édouard,35102,69,11
C0B,1100,11,Prince Edward Island,Île-du-Prince-Édouard,16395,69,11
C1A,1100,11,Prince Edward Island,Île-du-Prince-Édouard,24212,69,11
C1B,1100,11,Prince Edward Island,Île-du-Prince-Édouard,12289,69,11
C1C,1100,11,Prince Edward Island,Île-du-Prince-Édouard,4141,69,11
C1E,1100,11,Prince Edward Island,Île-du-Prince-Édouard,10625,69,11
C1N,1100,11,Prince Edward Island,Île-du-Prince-Édouard,15962,69,11
E1A,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),39669,18,13
E1B,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),19662,18,13
E1C,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),23768,18,13
E1E,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),10986,18,13
E1G,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),21722,18,13
E1H,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),7650,18,13
E1J,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),3003,18,13
E1N,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),32,18,13
E1N,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),10834,24,13
E1V,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),0,19,13
E1V,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),13036,24,13
E1W,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),6838,23,13
E1X,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),13573,23,13
E1X,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),0,24,13
E2A,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),17087,23,13
E2E,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),20315,19,13
E2G,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),4601,19,13
E2H,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),4225,19,13
E2J,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),16220,19,13
E2K,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),16316,19,13
E2L,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),7395,19,13
E2M,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),18394,19,13
E2N,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),4050,19,13
E2P,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1138,19,13
E2R,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),173,19,13
E2S,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),6389,19,13
E2V,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),13715,20,13
E3A,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),27300,20,13
E3B,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),35860,20,13
E3C,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),11231,20,13
E3E,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),4902,20,13
E3G,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),9118,20,13
E3L,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),8487,19,13
E3N,1305,13,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),12388,22,13
E3V,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),10344,21,13
E3Y,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),,20,13
E3Y,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),6863,21,13
E3Z,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),,20,13
E3Z,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),3489,21,13
E4A,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2904,20,13
E4B,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),4042,20,13
E4C,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),612,19,13
E4C,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1434,20,13
E4E,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),8645,19,13
E4G,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2740,19,13
E4H,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),3792,18,13
E4J,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),4808,18,13
E4K,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),5783,18,13
E4L,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),6493,18,13
E4M,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),1750,18,13
E4N,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),3679,18,13
E4P,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),13809,18,13
E4R,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),5657,18,13
E4S,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),6097,18,13
E4T,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),2050,18,13
E4V,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),4255,18,13
E4W,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),7646,18,13
E4X,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),2835,18,13
E4Y,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),767,18,13
E4Y,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),2109,24,13
E4Z,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),4047,18,13
E4Z,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1336,19,13
E5A,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1578,19,13
E5B,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2987,19,13
E5C,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),4106,19,13
E5E,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),862,19,13
E5G,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2505,19,13
E5H,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2685,19,13
E5J,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1689,19,13
E5K,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),7003,19,13
E5L,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),257,19,13
E5L,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2528,20,13
E5M,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),981,19,13
E5M,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),972,20,13
E5N,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),11549,19,13
E5P,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2403,19,13
E5R,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1517,19,13
E5S,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),1623,19,13
E5T,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),2897,19,13
E5V,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),635,19,13
E6A,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1250,20,13
E6B,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1365,20,13
E6C,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2502,20,13
E6E,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1496,20,13
E6G,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2358,20,13
E6H,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1127,20,13
E6J,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1209,20,13
E6K,1302,13,Zone 2 (Saint John area),Zone 2 (région de Saint John),17,19,13
E6K,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),3713,20,13
E6L,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),4226,20,13
E7A,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),3450,21,13
E7B,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),5529,21,13
E7C,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),5163,21,13
E7E,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),3904,21,13
E7G,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),3624,20,13
E7H,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),5174,20,13
E7J,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),1936,20,13
E7K,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2595,20,13
E7L,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),4759,20,13
E7M,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),9676,20,13
E7N,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2868,20,13
E7P,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),3783,20,13
E8A,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),3165,21,13
E8B,1304,13,Zone 4 (Edmundston area),Zone 4 (région d'Edmundston),1784,21,13
E8B,1305,13,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),205,22,13
E8C,1305,13,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),3539,22,13
E8E,1305,13,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),4665,22,13
E8G,1305,13,Zone 5 (Campbellton area),Zone 5 (région de Campbellton),2525,22,13
E8G,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),,23,13
E8J,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),5069,23,13
E8K,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),7934,23,13
E8L,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),2248,23,13
E8M,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),1974,23,13
E8N,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),2520,23,13
E8P,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),3179,23,13
E8R,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),2838,23,13
E8S,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),4572,23,13
E8T,1306,13,Zone 6 (Bathurst area),Zone 6 (région de Bathurst),5651,23,13
E9A,1301,13,Zone 1 (Moncton area),Zone 1 (région de Moncton),489,18,13
E9A,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),1599,24,13
E9B,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),2130,24,13
E9C,1303,13,Zone 3 (Fredericton area),Zone 3 (région de Fredericton),2117,20,13
E9E,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),3776,24,13
E9G,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),4869,24,13
E9H,1307,13,Zone 7 (Miramichi area),Zone 7 (région de Miramichi),3142,24,13
G0A,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,81873,72,24
G0A,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,,80,24
G0C,2411,24,Région de la Gaspésie—Îles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,45035,76,24
G0E,2411,24,Région de la Gaspésie—Îles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,4599,76,24
G0G,2409,24,Région de la Côte-Nord,Région de la Côte-Nord,13782,74,24
G0H,2409,24,Région de la Côte-Nord,Région de la Côte-Nord,10296,74,24
G0J,2401,24,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,23492,71,24
G0J,2411,24,Région de la Gaspésie—Îles-de-la-Madeleine,Région de la Gaspésie—Îles-de-la-Madeleine,4456,76,24
G0K,2401,24,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,11643,71,24
G0L,2401,24,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,58370,71,24
G0M,2405,24,Région de l'Estrie,Région de l'Estrie,4220,75,24
G0M,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,29089,73,24
G0N,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,1901,80,24
G0N,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,16461,73,24
G0P,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,6354,80,24
G0P,2405,24,Région de l'Estrie,Région de l'Estrie,,75,24
G0P,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,261,73,24
G0R,2401,24,Région du Bas-Saint-Laurent,Région du Bas-Saint-Laurent,5233,71,24
G0R,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,75967,73,24
G0S,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,7412,80,24
G0S,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,62516,73,24
G0T,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,3894,72,24
G0T,2409,24,Région de la Côte-Nord,Région de la Côte-Nord,9589,74,24
G0V,2402,24,Région du Saguenay—Lac-Saint-Jean,Région du Saguenay—Lac-Saint-Jean,16202,86,24
G0W,2402,24,Région du Saguenay—Lac-Saint-Jean,Région du Saguenay—Lac-Saint-Jean,27653,86,24
G0W,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,67,80,24
G0W,2410,24,Région du Nord-du-Québec,Région du Nord-du-Québec,24,83,24
G0W,2418,24,Région des Terres-Cries-de-la-Baie-James,Région des Terres-Cries-de-la-Baie-James,680,87,24
G0X,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,,72,24
G0X,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,56953,80,24
G0Y,2405,24,Région de l'Estrie,Région de l'Estrie,8024,75,24
G0Y,2412,24,Région de la Chaudière-Appalaches,Région de la Chaudière-Appalaches,905,73,24
G0Z,2404,24,Région de la Mauricie et du Centre-du-Québec,Région de la Mauricie et du Centre-du-Québec,6866,80,24
G1A,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,51,72,24
G1B,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,15375,72,24
G1C,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,37144,72,24
G1E,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,26575,72,24
G1G,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,25007,72,24
G1H,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,28910,72,24
G1J,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,23321,72,24
G1K,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,18039,72,24
G1L,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,23106,72,24
G1M,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,19410,72,24
G1N,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,8861,72,24
G1P,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,16348,72,24
G1R,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,16563,72,24
G1S,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,25809,72,24
G1T,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,6087,72,24
G1V,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,17457,72,24
G1W,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,20643,72,24
G1X,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,26013,72,24
G1Y,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,12718,72,24
G2A,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,15833,72,24
G2B,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,24194,72,24
G2C,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,11453,72,24
G2E,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,19967,72,24
G2G,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,11304,72,24
G2J,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,2544,72,24
G2K,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,11367,72,24
G2L,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,13896,72,24
G2M,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,4326,72,24
G2N,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,8450,72,24
G3A,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,19235,72,24
G3B,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,7793,72,24
G3C,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,8968,72,24
G3E,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,15639,72,24
G3G,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,10106,72,24
G3H,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,9230,72,24
G3J,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,10362,72,24
G3K,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,18144,72,24
G3L,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,10221,72,24
G3M,2403,24,Région de la Capitale-Nationale,Région de la Capitale-Nationale,6895,72,24
