id,code,eng_name,fre_name,estimated_pop,fk_healthregion_id,fk_province_id
168,E3Z,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),3489,21,13
169,E4A,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2904,20,13
170,E4B,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),4042,20,13
171,E4C,Zone 2 (Saint John area),Zone 2 (region de Saint John),612,19,13
172,E4C,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1434,20,13
173,E4E,Zone 2 (Saint John area),Zone 2 (region de Saint John),8645,19,13
174,E4G,Zone 2 (Saint John area),Zone 2 (region de Saint John),2740,19,13
175,E4H,Zone 1 (Moncton area),Zone 1 (region de Moncton),3792,18,13
176,E4J,Zone 1 (Moncton area),Zone 1 (region de Moncton),4808,18,13
177,E4K,Zone 1 (Moncton area),Zone 1 (region de Moncton),5783,18,13
178,E4L,Zone 1 (Moncton area),Zone 1 (region de Moncton),6493,18,13
179,E4M,Zone 1 (Moncton area),Zone 1 (region de Moncton),1750,18,13
180,E4N,Zone 1 (Moncton area),Zone 1 (region de Moncton),3679,18,13
181,E4P,Zone 1 (Moncton area),Zone 1 (region de Moncton),13809,18,13
182,E4R,Zone 1 (Moncton area),Zone 1 (region de Moncton),5657,18,13
183,E4S,Zone 1 (Moncton area),Zone 1 (region de Moncton),6097,18,13
184,E4T,Zone 1 (Moncton area),Zone 1 (region de Moncton),2050,18,13
185,E4V,Zone 1 (Moncton area),Zone 1 (region de Moncton),4255,18,13
186,E4W,Zone 1 (Moncton area),Zone 1 (region de Moncton),7646,18,13
187,E4X,Zone 1 (Moncton area),Zone 1 (region de Moncton),2835,18,13
188,E4Y,Zone 1 (Moncton area),Zone 1 (region de Moncton),767,18,13
189,E4Y,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),2109,24,13
190,E4Z,Zone 1 (Moncton area),Zone 1 (region de Moncton),4047,18,13
191,E4Z,Zone 2 (Saint John area),Zone 2 (region de Saint John),1336,19,13
192,E5A,Zone 2 (Saint John area),Zone 2 (region de Saint John),1578,19,13
193,E5B,Zone 2 (Saint John area),Zone 2 (region de Saint John),2987,19,13
194,E5C,Zone 2 (Saint John area),Zone 2 (region de Saint John),4106,19,13
195,E5E,Zone 2 (Saint John area),Zone 2 (region de Saint John),862,19,13
196,E5G,Zone 2 (Saint John area),Zone 2 (region de Saint John),2505,19,13
197,E5H,Zone 2 (Saint John area),Zone 2 (region de Saint John),2685,19,13
198,E5J,Zone 2 (Saint John area),Zone 2 (region de Saint John),1689,19,13
199,E5K,Zone 2 (Saint John area),Zone 2 (region de Saint John),7003,19,13
200,E5L,Zone 2 (Saint John area),Zone 2 (region de Saint John),257,19,13
201,E5L,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2528,20,13
202,E5M,Zone 2 (Saint John area),Zone 2 (region de Saint John),981,19,13
203,E5M,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),972,20,13
204,E5N,Zone 2 (Saint John area),Zone 2 (region de Saint John),11549,19,13
205,E5P,Zone 2 (Saint John area),Zone 2 (region de Saint John),2403,19,13
206,E5R,Zone 2 (Saint John area),Zone 2 (region de Saint John),1517,19,13
207,E5S,Zone 2 (Saint John area),Zone 2 (region de Saint John),1623,19,13
208,E5T,Zone 2 (Saint John area),Zone 2 (region de Saint John),2897,19,13
209,E5V,Zone 2 (Saint John area),Zone 2 (region de Saint John),635,19,13
210,E6A,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1250,20,13
211,E6B,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1365,20,13
212,E6C,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2502,20,13
213,E6E,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1496,20,13
214,E6G,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2358,20,13
215,E6H,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1127,20,13
216,E6J,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1209,20,13
217,E6K,Zone 2 (Saint John area),Zone 2 (region de Saint John),17,19,13
218,E6K,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),3713,20,13
219,E6L,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),4226,20,13
220,E7A,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),3450,21,13
221,E7B,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),5529,21,13
222,E7C,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),5163,21,13
223,E7E,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),3904,21,13
224,E7G,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),3624,20,13
225,E7H,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),5174,20,13
226,E7J,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),1936,20,13
227,E7K,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2595,20,13
228,E7L,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),4759,20,13
229,E7M,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),9676,20,13
230,E7N,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2868,20,13
231,E7P,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),3783,20,13
232,E8A,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),3165,21,13
233,E8B,Zone 4 (Edmundston area),Zone 4 (region d'Edmundston),1784,21,13
234,E8B,Zone 5 (Campbellton area),Zone 5 (region de Campbellton),205,22,13
235,E8C,Zone 5 (Campbellton area),Zone 5 (region de Campbellton),3539,22,13
236,E8E,Zone 5 (Campbellton area),Zone 5 (region de Campbellton),4665,22,13
237,E8G,Zone 5 (Campbellton area),Zone 5 (region de Campbellton),2525,22,13
238,E8G,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),0,23,13
239,E8J,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),5069,23,13
240,E8K,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),7934,23,13
241,E8L,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),2248,23,13
242,E8M,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),1974,23,13
243,E8N,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),2520,23,13
244,E8P,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),3179,23,13
245,E8R,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),2838,23,13
246,E8S,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),4572,23,13
247,E8T,Zone 6 (Bathurst area),Zone 6 (region de Bathurst),5651,23,13
248,E9A,Zone 1 (Moncton area),Zone 1 (region de Moncton),489,18,13
249,E9A,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),1599,24,13
250,E9B,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),2130,24,13
251,E9C,Zone 3 (Fredericton area),Zone 3 (region de Fredericton),2117,20,13
252,E9E,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),3776,24,13
253,E9G,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),4869,24,13
254,E9H,Zone 7 (Miramichi area),Zone 7 (region de Miramichi),3142,24,13
255,G0A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,81873,72,24
256,G0A,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,0,80,24
257,G0C,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,45035,76,24
258,G0E,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,4599,76,24
259,G0G,Region de la Cote-Nord,Region de la Cote-Nord,13782,74,24
260,G0H,Region de la Cote-Nord,Region de la Cote-Nord,10296,74,24
261,G0J,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,23492,71,24
262,G0J,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,4456,76,24
263,G0K,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,11643,71,24
264,G0L,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,58370,71,24
265,G0M,Region de l'Estrie,Region de l'Estrie,4220,75,24
266,G0M,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,29089,73,24
267,G0N,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,1901,80,24
268,G0N,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,16461,73,24
269,G0P,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,6354,80,24
270,G0P,Region de l'Estrie,Region de l'Estrie,0,75,24
271,G0P,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,261,73,24
272,G0R,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,5233,71,24
273,G0R,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,75967,73,24
274,G0S,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,7412,80,24
275,G0S,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,62516,73,24
276,G0T,Region de la Capitale-Nationale,Region de la Capitale-Nationale,3894,72,24
277,G0T,Region de la Cote-Nord,Region de la Cote-Nord,9589,74,24
278,G0V,Region du Saguenay Lac-Saint-Jean,Region du Saguenay Lac-Saint-Jean,16202,86,24
279,G0W,Region du Saguenay Lac-Saint-Jean,Region du Saguenay Lac-Saint-Jean,27653,86,24
280,G0W,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,67,80,24
281,G0W,Region du Nord-du-Quebec,Region du Nord-du-Quebec,24,83,24
282,G0W,Region des Terres-Cries-de-la-Baie-James,Region des Terres-Cries-de-la-Baie-James,680,87,24
283,G0X,Region de la Capitale-Nationale,Region de la Capitale-Nationale,0,72,24
284,G0X,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,56953,80,24
285,G0Y,Region de l'Estrie,Region de l'Estrie,8024,75,24
286,G0Y,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,905,73,24
287,G0Z,Region de la Mauricie et du Centre-du-Quebec,Region de la Mauricie et du Centre-du-Quebec,6866,80,24
288,G1A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,51,72,24
289,G1B,Region de la Capitale-Nationale,Region de la Capitale-Nationale,15375,72,24
290,G1C,Region de la Capitale-Nationale,Region de la Capitale-Nationale,37144,72,24
291,G1E,Region de la Capitale-Nationale,Region de la Capitale-Nationale,26575,72,24
292,G1G,Region de la Capitale-Nationale,Region de la Capitale-Nationale,25007,72,24
293,G1H,Region de la Capitale-Nationale,Region de la Capitale-Nationale,28910,72,24
294,G1J,Region de la Capitale-Nationale,Region de la Capitale-Nationale,23321,72,24
295,G1K,Region de la Capitale-Nationale,Region de la Capitale-Nationale,18039,72,24
296,G1L,Region de la Capitale-Nationale,Region de la Capitale-Nationale,23106,72,24
297,G1M,Region de la Capitale-Nationale,Region de la Capitale-Nationale,19410,72,24
298,G1N,Region de la Capitale-Nationale,Region de la Capitale-Nationale,8861,72,24
299,G1P,Region de la Capitale-Nationale,Region de la Capitale-Nationale,16348,72,24
300,G1R,Region de la Capitale-Nationale,Region de la Capitale-Nationale,16563,72,24
301,G1S,Region de la Capitale-Nationale,Region de la Capitale-Nationale,25809,72,24
302,G1T,Region de la Capitale-Nationale,Region de la Capitale-Nationale,6087,72,24
303,G1V,Region de la Capitale-Nationale,Region de la Capitale-Nationale,17457,72,24
304,G1W,Region de la Capitale-Nationale,Region de la Capitale-Nationale,20643,72,24
305,G1X,Region de la Capitale-Nationale,Region de la Capitale-Nationale,26013,72,24
306,G1Y,Region de la Capitale-Nationale,Region de la Capitale-Nationale,12718,72,24
307,G2A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,15833,72,24
308,G2B,Region de la Capitale-Nationale,Region de la Capitale-Nationale,24194,72,24
309,G2C,Region de la Capitale-Nationale,Region de la Capitale-Nationale,11453,72,24
310,G2E,Region de la Capitale-Nationale,Region de la Capitale-Nationale,19967,72,24
311,G2G,Region de la Capitale-Nationale,Region de la Capitale-Nationale,11304,72,24
312,G2J,Region de la Capitale-Nationale,Region de la Capitale-Nationale,2544,72,24
313,G2K,Region de la Capitale-Nationale,Region de la Capitale-Nationale,11367,72,24
314,G2L,Region de la Capitale-Nationale,Region de la Capitale-Nationale,13896,72,24
315,G2M,Region de la Capitale-Nationale,Region de la Capitale-Nationale,4326,72,24
316,G2N,Region de la Capitale-Nationale,Region de la Capitale-Nationale,8450,72,24
317,G3A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,19235,72,24
318,G3B,Region de la Capitale-Nationale,Region de la Capitale-Nationale,7793,72,24
319,G3C,Region de la Capitale-Nationale,Region de la Capitale-Nationale,8968,72,24
320,G3E,Region de la Capitale-Nationale,Region de la Capitale-Nationale,15639,72,24
321,G3G,Region de la Capitale-Nationale,Region de la Capitale-Nationale,10106,72,24
322,G3H,Region de la Capitale-Nationale,Region de la Capitale-Nationale,9230,72,24
323,G3J,Region de la Capitale-Nationale,Region de la Capitale-Nationale,10362,72,24
324,G3K,Region de la Capitale-Nationale,Region de la Capitale-Nationale,18144,72,24
325,G3L,Region de la Capitale-Nationale,Region de la Capitale-Nationale,10221,72,24
326,G3M,Region de la Capitale-Nationale,Region de la Capitale-Nationale,6895,72,24
327,G3N,Region de la Capitale-Nationale,Region de la Capitale-Nationale,9891,72,24
328,G3Z,Region de la Capitale-Nationale,Region de la Capitale-Nationale,6717,72,24
329,G4A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,3056,72,24
330,G4R,Region de la Cote-Nord,Region de la Cote-Nord,20877,74,24
331,G4S,Region de la Cote-Nord,Region de la Cote-Nord,4148,74,24
332,G4T,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,12435,76,24
333,G4V,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,6438,76,24
334,G4W,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,14233,71,24
335,G4X,Region de la Gaspesie Iles-de-la-Madeleine,Region de la Gaspesie Iles-de-la-Madeleine,14334,76,24
336,G4Z,Region de la Cote-Nord,Region de la Cote-Nord,9458,74,24
337,G5A,Region de la Capitale-Nationale,Region de la Capitale-Nationale,8250,72,24
338,G5B,Region de la Cote-Nord,Region de la Cote-Nord,5919,74,24
339,G5C,Region de la Cote-Nord,Region de la Cote-Nord,11917,74,24
340,G5H,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,6789,71,24
341,G5J,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,6173,71,24
342,G5L,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,28347,71,24
343,G5M,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,8568,71,24
344,G5N,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,7615,71,24
345,G5R,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,19347,71,24
346,G5T,Region du Bas-Saint-Laurent,Region du Bas-Saint-Laurent,2858,71,24
347,G5V,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,11167,73,24
348,G5X,Region de la Chaudiere-Appalaches,Region de la Chaudiere-Appalaches,6271,73,24
